image,healing_score,redness,pus,infection
abrasions_1.jpg,87,0,0,1
abrasions_10.jpg,28,0,1,1
abrasions_11.jpg,47,1,0,0
abrasions_12.jpg,49,0,0,1
abrasions_13.jpg,88,1,1,1
abrasions_14.jpg,28,1,0,1
abrasions_15.jpg,68,1,0,0
abrasions_16.jpg,35,0,1,1
abrasions_17.jpg,50,1,0,0
abrasions_18.jpg,90,1,0,0
abrasions_19.jpg,70,1,0,0
abrasions_2.jpg,69,0,0,0
abrasions_20.jpg,76,0,1,0
abrasions_21.jpg,82,1,0,1
abrasions_22.jpg,93,0,0,0
abrasions_23.jpg,45,0,1,1
abrasions_24.jpg,29,1,0,1
abrasions_25.jpg,68,0,1,1
abrasions_26.jpg,79,1,0,0
abrasions_27.jpg,40,0,0,1
abrasions_28.jpg,64,1,0,1
abrasions_29.jpg,14,0,1,1
abrasions_3.jpg,67,0,0,1
abrasions_30.jpg,40,1,0,0
abrasions_31.jpg,72,0,1,0
abrasions_32.jpg,10,1,1,1
abrasions_33.jpg,58,1,0,1
abrasions_34.jpg,38,1,0,0
abrasions_35.jpg,25,0,0,1
abrasions_36.jpg,93,0,0,1
abrasions_37.jpg,14,0,0,0
abrasions_38.jpg,32,0,0,1
abrasions_39.jpg,66,0,0,1
abrasions_4.jpg,51,1,0,0
abrasions_40.jpg,81,1,0,1
abrasions_41.jpg,62,0,1,1
abrasions_42.jpg,62,0,0,0
abrasions_43.jpg,85,0,1,0
abrasions_44.jpg,34,1,1,1
abrasions_45.jpg,28,0,1,0
abrasions_46.jpg,52,1,1,1
abrasions_47.jpg,18,1,0,1
abrasions_48.jpg,93,0,1,1
abrasions_49.jpg,94,1,1,0
abrasions_5.jpg,57,0,1,1
abrasions_50.jpg,33,0,1,0
abrasions_51.jpg,26,1,1,1
abrasions_52.jpg,64,0,0,0
abrasions_53.jpg,17,1,1,1
abrasions_54.jpg,82,1,1,1
abrasions_55.jpg,12,0,0,1
abrasions_56.jpg,94,1,1,0
